date,Collection period,Site,Site code,Collector_#,Treatment,abundance_mangrove,abundance_atlantic,Technician,Comments,
4/18/2025,C6,Fulladosa,FUL,100,Deep,31,4,Jaime,,
4/18/2025,C6,Fulladosa,FUL,74,Deep,85,4,pedr,,
4/18/2025,C6,Fulladosa,FUL,91,Shallow,72,0,Rene,,
4/18/2025,C6,Fulladosa,FUL,97,Deep,53,17,Nic,,
4/18/2025,C6,Fulladosa,FUL,87,Shallow,53,1,Jaime,,
4/18/2025,C6,Fulladosa,FUL,99,Shallow,64,4,Pe,,
6/22/2024,C1,La Pelá,LPE,95,Shallow,0,1,NA,,
6/22/2024,C1,La Pelá,LPE,90,Deep,0,4,NA,,
6/22/2024,C1,La Pelá,LPE,84,Deep,0,1,NA,,
6/22/2024,C1,La Pelá,LPE,75,Deep,0,0,NA,,
6/22/2024,C1,La Pelá,LPE,93,Shallow,0,9,NA,,
6/22/2024,C1,La Pelá,LPE,86,Shallow,0,1,NA,,
8/17/2024,C2,La Pelá,LPE,86,Shallow,0,0,Megan,,
8/17/2024,C2,La Pelá,LPE,93,Shallow,5,2,Pedro,,
8/17/2024,C2,La Pelá,LPE,95,Shallow,0,0,Megan,,
8/17/2024,C2,La Pelá,LPE,84,Deep,16,3,Pedro,,
8/17/2024,C2,La Pelá,LPE,75,Deep,31,6,Nico,,
8/17/2024,C2,La Pelá,LPE,90,Deep,30,1,Megan,,
19-Oct,C3,La Pelá,LPE,93,Shallow,27,0,Megan,,
19-Oct,C3,La Pelá,LPE,86,Shallow,31,0,Megan,,
19-Oct,C3,La Pelá,LPE,75,Deep,9,0,Rene,,
19-Oct,C3,La Pelá,LPE,90,Deep,15,0,Rene,,
19-Oct,C3,La Pelá,LPE,95,Shallow,0,0,Rene,,
19-Oct,C3,La Pelá,LPE,84,Deep,2,0,Rene,,
16-Dec,C4,La Pelá,LPE,93,Shallow,1,0,Rene,,
16-Dec,C4,La Pelá,LPE,90,Deep,20,15,Pedro,,
16-Dec,C4,La Pelá,LPE,84,Deep,0,0,Rene,,
16-Dec,C4,La Pelá,LPE,86,Shallow,8,0,Nico,,
16-Dec,C4,La Pelá,LPE,95,Shallow,3,4,Pedro,,
16-Dec,C4,La Pelá,LPE,75,Deep,0,2,Rene,,
2/12/2025,C5,La Pelá,LPE,93,Shallow,1,0,Pedro,,
2/12/2025,C5,La Pelá,LPE,75,Deep,3,0,Pedro,,
2/12/2025,C5,La Pelá,LPE,95,Shallow,0,0,Rene,,
2/12/2025,C5,La Pelá,LPE,90,Deep,2,0,Rene,,
2/12/2025,C5,La Pelá,LPE,86,Shallow,0,0,Rene,,
2/12/2025,C5,La Pelá,LPE,84,Deep,6,4,Rene,2 scallops,
4/18/2025,C6,La Pelá,LPE,90,Deep,8,3,Nico,,
4/18/2025,C6,La Pelá,LPE,95,Shallow,0,0,Rene,,
4/18/2025,C6,La Pelá,LPE,75,Deep,17,1,Rene,,
4/18/2025,C6,La Pelá,LPE,93,Shallow,0,0,pedr,,
4/18/2025,C6,La Pelá,LPE,86,Shallow,0,0,Jaime,,
4/18/2025,C6,La Pelá,LPE,84,Deep,19,11,Rene,,
6/24/2024,C1,Luis Peña,PCR,71,Deep,0,28,Megan,,
6/24/2024,C1,Luis Peña,PCR,79,Shallow,5,21,Nico,,
6/24/2024,C1,Luis Peña,PCR,82,Shallow,2,17,Pedro,,
6/24/2024,C1,Luis Peña,PCR,78,Shallow,2,22,Megan,,
6/24/2024,C1,Luis Peña,PCR,85,Deep,5,49,Rene,,
6/24/2024,C1,Luis Peña,PCR,77,Deep,0,20,Pedro,,
8/20/2024,C2,Luis Peña,PCR,79,Shallow,2,5,Pedro,,
8/20/2024,C2,Luis Peña,PCR,92,Shallow,2,3,Rene,,
8/20/2024,C2,Luis Peña,PCR,71,Deep,0,22,Rene,,
8/20/2024,C2,Luis Peña,PCR,78,Shallow,5,2,Nico,,
8/20/2024,C2,Luis Peña,PCR,77,Deep,6,27,Rene,,
8/20/2024,C2,Luis Peña,PCR,85,Deep,13,13,Pedro,,
20-Oct,C3,Luis Peña,PCR,85,Deep,92,13,Rene,,
20-Oct,C3,Luis Peña,PCR,92,Shallow,34,35,Rene,,
20-Oct,C3,Luis Peña,PCR,78,Shallow,36,16,Pedro,,
20-Oct,C3,Luis Peña,PCR,79,Shallow,37,18,Nico,,
20-Oct,C3,Luis Peña,PCR,77,Deep,71,10,Pedro,,
20-Oct,C3,Luis Peña,PCR,71,Deep,68,13,Nico,,
16-Dec,C4,Luis Peña,PCR,77,Deep,910,122,Pedro,mostly C. equestris not C. rizhophorae,
16-Dec,C4,Luis Peña,PCR,71,Deep,734,246,Rene,mostly C. equestris not C. rizhophorae,
16-Dec,C4,Luis Peña,PCR,79,Shallow,236,120,Nico,mostly C. equestris not C. rizhophorae,
16-Dec,C4,Luis Peña,PCR,78,Shallow,205,126,Nico,mostly C. equestris not C. rizhophorae,many crabs
16-Dec,C4,Luis Peña,PCR,85,Deep,576,89,pedro,mostly C. equestris not C. rizhophorae,
16-Dec,C4,Luis Peña,PCR,92,Shallow,289,224,Luis,mostly C. equestris not C. rizhophorae,
2/12/2025,C5,Luis Peña,PCR,77,Deep,40,56,Luis,1 scallops,
2/12/2025,C5,Luis Peña,PCR,78,Shallow,5,4,Pedro,,
2/12/2025,C5,Luis Peña,PCR,71,Deep,44,6,Rene,,
2/12/2025,C5,Luis Peña,PCR,79,Shallow,59,25,Rene,,
2/12/2025,C5,Luis Peña,PCR,92,Shallow,18,2,Pedro,,
2/12/2025,C5,Luis Peña,PCR,85,Deep,46,12,Rene,,
4/18/2025,C6,Luis Peña,PCR,71,Deep,3,3,Pe,,
4/18/2025,C6,Luis Peña,PCR,78,Shallow,5,11,Jaime,,
4/18/2025,C6,Luis Peña,PCR,92,Shallow,17,4,Pe,,
4/18/2025,C6,Luis Peña,PCR,79,Shallow,0,2,Pe,,
4/18/2025,C6,Luis Peña,PCR,85,Deep,3,11,Jaime,,
4/18/2025,C6,Luis Peña,PCR,77,Deep,0,14,Jaime,,
6/19/2024,C1,Punta Soldado,PSO,83,Deep,0,17,Megan,,
6/22/2024,C1,Punta Soldado,PSO,76,Shallow,3,20,Megan,,
6/22/2024,C1,Punta Soldado,PSO,80,Deep,0,11,Megan,,
6/22/2024,C1,Punta Soldado,PSO,72,Deep,0,3,Nico,,
6/22/2024,C1,Punta Soldado,PSO,96,Shallow,6,7,Nico,,
6/22/2024,C1,Punta Soldado,PSO,98,Shallow,0,4,Nico,,
8/17/2024,C2,Punta Soldado,PSO,76,Shallow,4,3,Megan,,
8/17/2024,C2,Punta Soldado,PSO,80,Deep,11,1,Pedro,,
8/17/2024,C2,Punta Soldado,PSO,96,Shallow,4,0,Pedro,,
8/17/2024,C2,Punta Soldado,PSO,98,Shallow,4,9,Pedro,,
8/17/2024,C2,Punta Soldado,PSO,72,Deep,3,9,Megan,,
8/17/2024,C2,Punta Soldado,PSO,83,Deep,12,5,Pedro,,
18-Oct,C3,Punta Soldado,PSO,80,Deep,60,4,Rene,,
18-Oct,C3,Punta Soldado,PSO,76,Shallow,26,0,Rene,,
18-Oct,C3,Punta Soldado,PSO,96,Shallow,44,0,"Pedro, Nico",,
18-Oct,C3,Punta Soldado,PSO,72,Deep,53,2,Rene,,
18-Oct,C3,Punta Soldado,PSO,98,Shallow,103,14,Nico,,
18-Oct,C3,Punta Soldado,PSO,83,Deep,NA,NA,NA,missing and replaced with same tag. Treated in Primer by eliminating this observation,
13-Dec,C4,Punta Soldado,PSO,96,Shallow,11,1,Rene,mostly C. equestris not C. rizhophorae,
16-Dec,C4,Punta Soldado,PSO,98,Shallow,71,56,Nico,mostly C. equestris not C. rizhophorae,
16-Dec,C4,Punta Soldado,PSO,76,Shallow,177,183,Rene,mostly C. equestris not C. rizhophorae,
16-Dec,C4,Punta Soldado,PSO,80,Deep,35,1,Nico,mostly C. equestris not C. rizhophorae,
16-Dec,C4,Punta Soldado,PSO,72,Deep,102,38,Nico,mostly C. equestris not C. rizhophorae,
16-Dec,C4,Punta Soldado,PSO,83,Deep,6,133,Nico,mostly C. equestris not C. rizhophorae,
2/12/2025,C5,Punta Soldado,PSO,96,Shallow,3,0,Rene,,
2/12/2025,C5,Punta Soldado,PSO,72,Deep,17,0,Pedro,,
2/12/2025,C5,Punta Soldado,PSO,98,Shallow,2,0,Pedro,,
2/12/2025,C5,Punta Soldado,PSO,76,Deep,0,0,Luis,,
2/12/2025,C5,Punta Soldado,PSO,80,Deep,10,1,Pedro,,
2/12/2025,C5,Punta Soldado,PSO,83,Shallow,0,32,Luis,,
4/18/2025,C6,Punta Soldado,PSO,72,Deep,3,1,Pedro,,
4/18/2025,C6,Punta Soldado,PSO,96,Shallow,4,0,Rene,,
4/18/2025,C6,Punta Soldado,PSO,98,Shallow,0,0,Pedro,,
4/18/2025,C6,Punta Soldado,PSO,76,Shallow,6,1,Pedro,,
4/18/2025,C6,Punta Soldado,PSO,80,Deep,8,3,Pedro,,
4/18/2025,C6,Punta Soldado,PSO,83,Deep,11,2,Rosarito,,
